"DATE","TIME PERIOD","Main refinancing operations - fixed rate tenders (fixed rate) (date of changes) - Level (FM.B.U2.EUR.4F.KR.MRR_FR.LEV)"
"1999-01-01","01 Jan 1999","3.0000000"
"1999-01-04","04 Jan 1999","3.0000000"
"1999-01-22","22 Jan 1999","3.0000000"
"1999-04-09","09 Apr 1999","2.5000000"
"1999-11-05","05 Nov 1999","3.0000000"
"2000-02-04","04 Feb 2000","3.2500000"
"2000-03-17","17 Mar 2000","3.5000000"
"2000-04-28","28 Apr 2000","3.7500000"
"2000-06-09","09 Jun 2000","4.2500000"
"2008-10-15","15 Oct 2008","3.7500000"
"2008-11-12","12 Nov 2008","3.2500000"
"2008-12-10","10 Dec 2008","2.5000000"
"2009-01-21","21 Jan 2009","2.0000000"
"2009-03-11","11 Mar 2009","1.5000000"
"2009-04-08","08 Apr 2009","1.2500000"
"2009-05-13","13 May 2009","1.0000000"
"2011-04-13","13 Apr 2011","1.2500000"
"2011-07-13","13 Jul 2011","1.5000000"
"2011-11-09","09 Nov 2011","1.2500000"
"2011-12-14","14 Dec 2011","1.0000000"
"2012-07-11","11 Jul 2012","0.7500000"
"2013-05-08","08 May 2013","0.5000000"
"2013-11-13","13 Nov 2013","0.2500000"
"2014-06-11","11 Jun 2014","0.1500000"
"2014-09-10","10 Sep 2014","0.0500000"
"2015-12-09","09 Dec 2015","0.0500000"
"2016-03-16","16 Mar 2016","0E-7"
"2019-09-18","18 Sep 2019","0E-7"
"2022-07-27","27 Jul 2022","0.5000000"
"2022-09-14","14 Sep 2022","1.2500000"
"2022-11-02","02 Nov 2022","2.0000000"
"2022-12-21","21 Dec 2022","2.5000000"
"2023-02-08","08 Feb 2023","3.0000000"
"2023-03-22","22 Mar 2023","3.5000000"
"2023-05-10","10 May 2023","3.7500000"
"2023-06-21","21 Jun 2023","4.0000000"
"2023-08-02","02 Aug 2023","4.2500000"
"2023-09-20","20 Sep 2023","4.5000000"
"2024-06-12","12 Jun 2024","4.2500000"
"2024-09-18","18 Sep 2024","3.6500000"
"2024-10-23","23 Oct 2024","3.4000000"
"2024-12-18","18 Dec 2024","3.1500000"
"2025-02-05","05 Feb 2025","2.9000000"
"2025-03-12","12 Mar 2025","2.6500000"
"2025-04-23","23 Apr 2025","2.4000000"
"2025-06-11","11 Jun 2025","2.1500000"
